freq,visc
0.010187427,6882214.349
0.011655536,6386660.544
0.013150783,5926789.088
0.015045941,5249055.152
0.017134482,4871096.965
0.019422559,4354569.569
0.022324941,3929347.939
0.025188928,3545648.998
0.028685425,3053423.321
0.032819279,2729640.647
0.036858042,2395026.62
0.04236587,2081893.062
0.048023257,1809699.602
0.054436112,1558467.567
0.062280894,1329634.427
0.070597663,1134401.349
0.080397387,976917.7762
0.091133368,818048.2213
0.10282454,685014.5515
0.117097706,562998.3206
0.132734516,480332.0681
0.151862873,394774.3111
0.1721421,315490.1476
0.194225591,254495.1517
0.222215421,205292.567
0.251889276,164062.8086
0.284203245,132343.8773
0.328192787,101885.7837
0.372018482,79173.55061
0.419743395,60952.2663
0.478008351,47809.38802
0.544361117,35456.48998
0.61992437,27042.61477
0.699452239,20433.59718
0.792854597,15013.10729
0.915574205,10927.9715
1.023483028,7880.462816
1.17097706,5954.535245
1.327345161,4214.503805
1.511595129,2982.94352
1.705512233,2091.639407
