Lot,Temperature,Head Speed,Tensilt Strength,TS Deviation,Elongation,El Deviation,Youngs Modulus,Mod Deviation,Procedure,CTFE%,Mn,Mw,Mz,,,,
30035,23,500,9.5242,1.3725,139.634,37.791,0.685,0.1108,M-D,,42933,85900,140567,,Process,Cylinder (min),Cooling (min)
30035,40,500,2.1109,0.2922,403.3205,3.961,0.4518,0.0142,M-D,,42933,85900,140567,,A,15,5
30035,50,500,1.3383,0.2717,365.1669,59.5916,0.4695,0.0486,M-D,,42933,85900,140567,,B,15,15
30035,70,500,0.6089,0.1447,176.9889,121.9597,0.4387,0.063,M-D,,42933,85900,140567,,C,60,5
40-1885,23,500,16.4245,1.843,125.9393,18.6307,1.2372,0.0572,M-C,,55026,97595,146291,,D,60,15
40-1885,40,500,8.6341,2.0395,101.3922,9.7631,0.8681,0.1268,M-D,,55026,97595,146291,,E*,"(Procedure A) 15 sec @ 700 Bar, no post pressure",
40-1885,50,500,4.94,1.2675,184.1464,58.6719,0.582,0.0753,M-D,,55026,97595,146291,,,,
40-1885,70,500,3.1699,0.7268,97.6241,35.8273,0.5795,0.0641,M-D,,55026,97595,146291,,,,
40-1911,23,500,13.0254,1.6063,173.7343,27.41,0.906,0.1027,M-C,,59403,109513,171162,,,,
40-1911,40,500,3.1009,1.1509,260.5898,137.7895,0.5082,0.0564,M-D,,59403,109513,171162,,,,
40-1911,50,500,2.9494,0.3005,162.0703,36.8544,0.4568,0.028,M-D,,59403,109513,171162,,,,
40-1911,70,500,1.4927,0.4622,197.4778,121.1223,0.41,0.0426,M-D,,59403,109513,171162,,,,
40-1912,23,500,3.9369,1.0299,186.8643,14.0969,0.7223,0.0362,M-C,,55640,103042,161480,,,,
40-1912,40,500,3.6971,1.2209,233.4695,105.8329,0.5476,0.0552,M-D,,55640,103042,161480,,,,
40-1912,50,500,1.4134,0.3862,346.0512,72.2306,0.4182,0.0316,M-D,,55640,103042,161480,,,,
40-1912,70,500,1.1587,0.2985,245.3503,91.5028,0.4341,0.0431,M-D,,55640,103042,161480,,,,
40-1929,23,500,22.8384,1.0175,109.9138,11.0873,1.2932,0.114,M-C,,68386,130068,209273,,,,
40-1929,40,500,10.316,2.6206,146.6938,31.5176,0.8231,0.1699,M-D,,68386,130068,209273,,,,
40-1929,50,500,4.9279,2.1743,132.8366,14.0948,0.5675,0.1437,M-D,,68386,130068,209273,,,,
40-1929,70,500,3.8974,1.0328,101.3341,15.8667,0.5237,0.053,M-D,,68386,130068,209273,,,,
40-1930,23,500,18.0528,3.5045,96.5856,5.4064,1.1118,0.0891,M-C,,60095,114982,186413,,,,
40-1930,40,500,6.3503,1.7023,141.0655,36.224,0.6613,0.0805,M-D,,60095,114982,186413,,,,
40-1930,50,500,4.1862,1.0906,139.8483,40.6021,0.5396,0.0631,M-D,,60095,114982,186413,,,,
40-1930,70,500,2.7588,0.9495,87.73,14.5773,0.5176,0.0774,M-D,,60095,114982,186413,,,,
40-1931,23,500,15.4111,1.5279,99.508,0.7607,1.0286,0.1719,M-C,,56548,107451,172045,,,,
40-1931,40,500,8.664,4.2939,178.1404,90.1268,0.6827,0.0976,M-D,,56548,107451,172045,,,,
40-1931,50,500,5.529,1.2378,113.2923,19.4269,0.5596,0.096,M-D,,56548,107451,172045,,,,
